NOMREG;NOMDEP;NOM DU MUSEE;ADR;CP;VILLE;SITWEB
BOURGOGNE;SAONE ET LOIRE;Musée Denon;Place de l'hotel de ville;71100;CHALON-SUR-SAONE;site des musées de Bourgogne
BOURGOGNE;SAONE ET LOIRE;Musée du Prieuré de Charolles;Rue du Prieuré;71120;CHAROLLES;Site des musées de Bourgogne ou site de la ville - http://www.ville-charolles.fr/musee-du-prieure
BOURGOGNE;SAONE ET LOIRE;Musée René Davoine;32, rue René Davoine;71120;CHAROLLES;www.institut-charolais.com (site de l'office du tourisme)
BOURGOGNE;SAONE ET LOIRE;Musée d'Art et d'Archéologie;"Palais Jean de Bourbon
Parc abbatial";71250;CLUNY;Site des musées de Bourgogne
BOURGOGNE;SAONE ET LOIRE;Musée de l'Homme et de l'Industrie - Ecomusée de la Communauté Le Creusot-Monceau-Les-Mines;"Château de la Verrerie
B.P. 53";71202;LE CREUSOT;www.ecomusee-creusot-montceau.fr
BOURGOGNE;SAONE ET LOIRE;"L'Atelier d'un Journal"" de Louhans - Musée Municipal";29, Rue des Dodânes;71500;LOUHANS;www.ecomusee-de-la-bresse.com ou site des musées de Bourgogne
BOURGOGNE;SAONE ET LOIRE;Musée des Ursulines;5, rue des Ursulines;71000;MACON;http://www.macon.fr/Culture-sports-et-loisirs/Les-Musees-de-Macon
BOURGOGNE;SAONE ET LOIRE;Musée Lamartine;41, Rue Sigorgne;71000;MACON;http://www.macon.fr/Culture-sports-et-loisirs/Les-Musees-de-Macon
BOURGOGNE;SAONE ET LOIRE;Musée de la Tour du Moulin;7-9, rue de la Tour;71110;MARCIGNY;www.marcigny.fr/musee-de-la-tour-du-moulin - http://tourdumoulin.blogspot.com
BOURGOGNE;SAONE ET LOIRE;Musée Eucharistique du Hiéron;13, Rue de la Paix;71600;PARAY-LE-MONIAL;www.musee-hieron.fr
BOURGOGNE;SAONE ET LOIRE;Musée Municipal;Avenue Jean-Paul II;71600;PARAY-LE-MONIAL;
BOURGOGNE;SAONE ET LOIRE;Ecomusée de la Bresse Bourguignonne;Château départemental;71270;PIERRE-DE-BRESSE;www.ecomusee-de-la-bresse.com
BOURGOGNE;SAONE ET LOIRE;Musée Départemental du Compagnonnage;Le Bourg;71570;ROMANECHE-THORINS;http://www.cg71.fr/musee_compagnonnage/ ou http://musee-compagnonnage.cg71.fr
BOURGOGNE;SAONE ET LOIRE;Musée du Terroir;Le Champ Bressan;71470;ROMENAY;
BOURGOGNE;SAONE ET LOIRE;Musée Départemental de Préhistoire de Solutré;;71960;SOLUTRE-POUILLY;www.musees-bourgogne.org
BOURGOGNE;SAONE ET LOIRE;Hôtel Dieu - Musée Greuze;21, rue de l'hôpital;71700;TOURNUS;Site des musées de Bourgogne
BOURGOGNE;SAONE ET LOIRE;Musée Bourguignon -  Perrin de Puycousin;8, Place de l'Abbaye;71700;TOURNUS;Site des musées de Bourgogne
BOURGOGNE;SAONE ET LOIRE;Maison du Blé et du Pain;2, Rue de l'Egalité;71350;VERDUN-SUR-LE-DOUBS;www.verdunsurledoubs.fr rubrique culture ou www.ecomusee-de-la-bresse.com
BOURGOGNE;YONNE;Musée Leblanc-Duvernois;9 bis, Rue d'Egleny;89000;AUXERRE;Site des musées de Bourgogne
BOURGOGNE;YONNE;Muséum - Maison de l'Eau;5, Boulevard Vauban;89000;AUXERRE;Site des musées de Bourgogne
BOURGOGNE;YONNE;Musée d'Art et d'Histoire;"Abbaye St-Germain
2 bis, Place Saint-Germain";89000;AUXERRE;Site des musées de Bourgogne
BOURGOGNE;YONNE;Musée de l'Avallonnais;"5, Rue du Collège
B.P. 67";89206;AVALLON;www.museeavallonnais.fr- site des musées de Bourgogne - site ville
BOURGOGNE;YONNE;Musée des Arts Naïfs et Populaires de Noyers sur Serein;25, Rue de l'Eglise;89310;NOYERS-SUR-SEREIN;Site des musées de Bourgogne ou www.noyers-sur-serein.com/artnaif.htm
BOURGOGNE;YONNE;Musée de l'Aventure du Son;Place de l'hôtel de ville;89170;SAINT-FARGEAU;www.aventureduson.fr
BOURGOGNE;YONNE;Musée Colette;Château;89520;SAINT-SAUVEUR-EN-PUISAYE;www.centre-colette.com - http://www.yonne-89.net/MuseeColette.htm
BOURGOGNE;YONNE;Musée Muncipal;Place de la Cathédrale;89100;SENS;Site des musées de Bourgogne
BOURGOGNE;YONNE;Musée Municipal de Tonnerre;22, Rue Rougemont;89700;TONNERRE;
BOURGOGNE;YONNE;Musée Zervos;"Rue Saint-Etienne
Maison Romain-Rolland";89450;VEZELAY;www.musee-zervos.fr
BOURGOGNE;YONNE;Musée Villeneuvien;Porte de Joigny et 2, Rue Carnot;89500;VILLENEUVE-SUR-YONNE;Site de la ville
BOURGOGNE;YONNE;Musée d'Art et d'Histoire du Puisaye;Rue Paul-Huillard;89130;VILLIERS-SAINT-BENOIT;
BRETAGNE;COTES D'ARMOR;Musée du Château de Dinan;Rue du Château;22100;DINAN;www.mairie-dinan.com
BRETAGNE;COTES D'ARMOR;Musée Mathurin Meheut;"Place du Martray
B.P. 70418";22404;LAMBALLE;www.musee-meheut.fr
BRETAGNE;COTES D'ARMOR;Musée d'Art et d'Histoire;"Cour Francis Renaud
Rue des Lycéens Martyrs";22000;SAINT-BRIEUC;www.mairie-saint-brieuc.fr
BRETAGNE;FINISTERE;Musée National de la Marine;Château de Brest;29240;BREST;www.musee-marine.fr/brest
BRETAGNE;FINISTERE;Musée des Beaux-Arts de Brest;24, Rue Traverse;29200;BREST;www.musee-brest.com
BRETAGNE;FINISTERE;Ecomusée des Monts d'Arrée - Moulins de Kerouat;Moulins de Kerouat;29450;COMMANA;www.ecomusee-monts-arree.fr
BRETAGNE;FINISTERE;Musée de la Pêche;"Concarneau Cornouaille Agglomération
3, Rue Vauban";29900;CONCARNEAU;www.concarneau-cornouaille.fr - www.musee-peche.fr
BRETAGNE;FINISTERE;Le Port-Musée;Place de l'Enfer;29100;DOUARNENEZ;www.port-musee.org
BRETAGNE;FINISTERE;Musée de Morlaix;Place des Jacobins;29600;MORLAIX;www.musee.ville.morlaix.fr
BRETAGNE;FINISTERE;Musée des Phares et Balises;Le Créac'h;29242;OUESSANT;www.parc-naturel-armorique.fr
BRETAGNE;FINISTERE;Ecomusée de l'Île d'Ouessant - Maison du Niou Huella;Le Niou Huella;29242;OUESSANT;www.parc-naturel-armorique.fr
BRETAGNE;FINISTERE;Musée de Pont-Aven;Place de l'Hôtel de Ville;29930;PONT-AVEN;www.pontaven.fr
BRETAGNE;FINISTERE;Musée Bigouden;Square de l'Europe;29120;PONT-L'ABBE;www.museebigouden.fr
BRETAGNE;FINISTERE;Musée des Beaux-Arts;40, Place Saint-Corentin;29000;QUIMPER;http//musee-beauxarts.quimper.fr
BRETAGNE;FINISTERE;Musée Départemental Breton;"Palais des Evêques
1, Rue du Roi Gradlon";29000;QUIMPER;www.cg29.fr/culture/mdb.htm - Site en cours
BRETAGNE;FINISTERE;Ecomusée des Monts d'Arrée - Maison Cornec;Maison Cornec;29190;RIVOAL;www.ecomusee-monts-arree.fr
BRETAGNE;FINISTERE;Musée de l'Ecole Rurale en Bretagne;Kergroas;29560;TREGARVAN;www.musee-ecole.fr
BRETAGNE;ILE ET VILAINE;Ecomusée du Pays de Montfort;2, Rue du Château;35160;MONTFORT-SUR-MEU;www.ecomusee-broceliande.com  - http://ecomuseepaysmontfort.free.fr/
BRETAGNE;ILE ET VILAINE;Musée de la Faucillonnaie;Manoir de la Faucillonnaie;35500;MONTREUIL-SOUS-PEROUSE;Site de l'office du tourisme
BRETAGNE;ILE ET VILAINE;Ecomusée du Pays de Rennes;"Ferme de la Bintinais
Route de Noyal-Châtillon-sur-Seiche";35200;RENNES;www.ecomusee-rennes-metropole.fr
BRETAGNE;ILE ET VILAINE;Musée des Beaux-Arts;20, Quai Emile Zola;35100;RENNES;www.mbar.org
BRETAGNE;ILE ET VILAINE;Musée de Bretagne;"46, boulevard Magenta
CS 51138";35011;RENNES;www.musee-bretagne.fr
BRETAGNE;ILE ET VILAINE;Musée d'Histoire de la Ville de Saint-Malo;"Château
Esplanade Félicité Lamennais - B.P. 147";35401;SAINT-MALO;Site de la ville
BRETAGNE;ILE ET VILAINE;Musée International du Long-Cours Cap-Hornier;"Tour Solidor
Esplanade du Commandant Menguy - B.P. 147";35401;SAINT-MALO;Site de la ville - www.ville-saint-malo.fr
BRETAGNE;ILE ET VILAINE;Musée Saint-Nicolas;15, Rue Pasteur;35506;VITRE;site de l'office du tourisme
BRETAGNE;ILE ET VILAINE;Musée des Rochers-Sévigné;Route d'Argentré du Plessis;35500;VITRE;site de l'office du tourisme
BRETAGNE;ILE ET VILAINE;Musée du Château;Place du Château;35506;VITRE;site de l'office du tourisme
BRETAGNE;MORBIHAN;Ecomusée de Saint-Dégan;;56400;BREC'H;www.ecomusee-st-degan.fr
BRETAGNE;MORBIHAN;Musée de Préhistoire J. Miln- Z. Le-Rouzic;10, Place de la chapelle;56340;CARNAC;www.museedecarnac.com
BRETAGNE;MORBIHAN;Ecomusée de l'Île de Groix;Port-Tudy;56590;ILE DE GROIX;http://ecomusee.groix.free.fr
BRETAGNE;MORBIHAN;Ecomusée Industriel des Forges;Mail François Giovannelli;56650;INZINZAC-LOCHRIST;www.inzinzac-lochrist.fr/Ecomusee-des-Forges.6681.0.html
BRETAGNE;MORBIHAN;Musée du Faouët;1, Rue de Quimper;56320;LE FAOUET;www.museedufaouet.fr
BRETAGNE;MORBIHAN;Musée de la Compagnie des Indes;Citadelle de Port-Louis;56290;PORT-LOUIS;http://musee.lorient.fr
BRETAGNE;MORBIHAN;Musée National de la Marine;Citadelle de Port-Louis;56290;PORT-LOUIS;www.musee-marine.fr/port-louis
BRETAGNE;MORBIHAN;Musée de la Résistance Bretonne;Les Hardys-Behelec;56140;SAINT-MARCEL - MALESTROIT;www.resistance-bretonne.com
BRETAGNE;MORBIHAN;Musée du Château de Suscinio;;56370;SARZEAU;www.suscinio.info
BRETAGNE;MORBIHAN;Musée d'Histoire et d'Archéologie de Vannes;"Château Gaillard
2, Rue Noé";56000;VANNES;
BRETAGNE;MORBIHAN;La Cohue, Musée des Beaux-Arts de vannes;9 et 15 Place Saint-Pierre;56000;VANNES;
CENTRE;CHER;Musée des Meilleurs Ouvriers de France;Place Etienne Dolet;18000;BOURGES;Site de la ville www.ville-bourges.fr
CENTRE;CHER;Musée d'Histoire Naturelle Gabriel Foucher;Parc Saint-Paul;18000;BOURGES;www.museum-bourges.net
CENTRE;CHER;Musée du Berry;"Hôtel Cujas
4, Rue des Arènes";18000;BOURGES;site de la ville www.ville-bourges.fr
CENTRE;CHER;Musée Estève;"Hôtel des Echevins
13, Rue Edouard Branly";18000;BOURGES;Site de la ville : www.ville-bourges.fr
CENTRE;CHER;Musée des Arts Décoratifs;"Hôtel Lallemant
5, Rue de l'Hôtel Lallemant";18000;BOURGES;Site de la ville www.ville-bourges.fr
CENTRE;CHER;Musée Emile Chénon;10-12, Rue de la Victoire;18370;CHATEAUMEILLANT;
CENTRE;CHER;Musée du Château Charles VII;Place du Général Leclerc;18500;MEHUN-SUR-YEVRE;http://www.ville-mehun-sur-yevre.fr/Le-Château
CENTRE;CHER;Musée Saint-Vic;Cours Manuel;18200;SAINT-AMAND-MONTROND;
CENTRE;CHER;Musée Municipal - Fours Banaux;"Service patrimoine
Place Aristide Briand";18100;VIERZON;site de la ville
CENTRE;EURE ET LOIR;Musée Bonnevallais;Rue des Ecoles;28800;BONNEVAL;
CENTRE;EURE ET LOIR;Muséum des Sciences Naturelles et de Préhistoire;5 bis, Bd de la Courtille;28000;CHARTRES;site de la ville : www.ville-chartres.fr ou http://perso.wanadoo.fr/samnel.museum/
CENTRE;EURE ET LOIR;Musée des Beaux-Arts;"Direction des Arts et du Patrimoine Culturel et Historique
29, Cloître Notre-Dame";28000;CHARTRES;www.ville-chartres.fr ou www.musees.regioncentre.fr/defaulttest.php
CENTRE;EURE ET LOIR;Conservatoire du Machinisme et des Pratiques Agricoles;1, rue de la République;28300;CHARTRES-MAINVILLIERS;www.lecompa.com
CENTRE;EURE ET LOIR;Musée des Beaux-Arts et d'Histoire Naturelle;3, rue Toufaire;28200;CHATEAUDUN;www.ville-chateaudun.fr ou www.musees.regioncentre.fr
CENTRE;EURE ET LOIR;Musée d'Art et d'Histoire Marcel Dessal;5-7, Place du musée;28100;DREUX;www.musees.regioncentre.fr - site de la région
CENTRE;EURE ET LOIR;Musée Marcel Proust;"4, rue du Docteur Proust
B.P. 20025";28120;ILLIERS-COMBRAY;http://perso.orange.fr/marcelproust/
CENTRE;EURE ET LOIR;Musée du Château Saint-Jean;Rue du Château;28400;NOGENT-LE-ROTROU;www.ville-nogent-le-rotrou.fr/html/art_cult/musee/collec.htm
CENTRE;EURE ET LOIR;Musée Farcot;Place Farcot;28700;SAINVILLE;mairie.perso.fr/sainville/index.htm
CENTRE;INDRE;Musée de la Chemiserie et de l'Elégance Masculine;"Rue Charles Brillaud
BP 154";36200;ARGENTON-SUR-CREUSE;http://chemiserie.cc-argenton.fr
CENTRE;INDRE;Château Musée;31/33 Rue Hersent Luzarche;36290;AZAY-LE-FERRON;www.château-azay-le-ferron.com
CENTRE;INDRE;Musées de Châteauroux - Hôtel Bertrand;2, Rue Descente-des-Cordeliers;36000;CHATEAUROUX;www.ville-chateauroux.fr - Site de la ville
CENTRE;INDRE;Musée de l'Hospice Saint-Roch;"23, Rue de l'Hospice Saint-Roch
B.P. 150";36100;ISSOUDUN;www.issoudun.fr
CENTRE;INDRE;Musée George Sand et de la Vallée Noire;71, Rue Venôse;36400;LA CHATRE;Site de la région ou www.pays-george-sand.com
CENTRE;INDRE;Musée de Géologie Régionale;;36600;LANGE;
CENTRE;INDRE;Musée Ornithologique (Ecomusée de la Brenne);Château Naillac;36300;LE BLANC;Site de la région centre
CENTRE;INDRE;Musée Archéologique d'Argentomagus;"""Les Mersans""
B.P. 6";36200;SAINT-MARCEL;www.argentomagus.com ou www.argentomagus.cc-argenton.fr
CENTRE;INDRE ET LOIRE;Musée de la poste;6, Rue Joyeuse;37400;AMBOISE;
CENTRE;INDRE ET LOIRE;Musée de l'Hôtel de Ville;"60, Rue Concorde
B.P. 247";37402;AMBOISE;Site de la ville www.ville-amboise.fr
CENTRE;INDRE ET LOIRE;Musée du Vieux Chinon;44, Rue Haute-Saint-Maurice;37500;CHINON;www.chinon-histoire.org
CENTRE;INDRE ET LOIRE;"""Maison Musée"" René Descartes";29, Rue Descartes;37160;DESCARTES;www.ville-descartes.fr/pratique/f_pratique.htm
CENTRE;INDRE ET LOIRE;Musée de Préhistoire du Grand Pressigny;Château du Grand-Pressigny;37350;LE GRAND PRESSIGNY;www.prehistoiregrandpressigny.fr
CENTRE;INDRE ET LOIRE;Musée Lansyer;1, rue Lansyer;37600;LOCHES;Site de la région centre ou http://www.lochesentouraine.com
CENTRE;INDRE ET LOIRE;Musée du Terroir;;37600;LOCHES;
CENTRE;INDRE ET LOIRE;Musée de l'Hôtel de Ville;1, Place du Marché;37120;RICHELIEU;www.ville-richelieu.fr
CENTRE;INDRE ET LOIRE;Musée Balzac;Château de Saché;37190;SACHE;Site hébergé sur www.lysdanslavallee.fr,
CENTRE;INDRE ET LOIRE;Musée Municipal;Place du Château;37800;SAINTE-MAURE-DE-TOURAINE;www.sainte-maure-de-touraine.fr
CENTRE;INDRE ET LOIRE;Musée du Savignéen;10, Faubourg Rue;37340;SAVIGNE-SUR-LATHAN;www.museedusavigneen.com
CENTRE;INDRE ET LOIRE;Ecomusée du Véron;80, Route de Candes;37420;SAVIGNY-EN-VERON;www.cc-veron.fr/ecomusee
CENTRE;INDRE ET LOIRE;Musée Rabelais;Maison de la Devinière;37500;SEUILLY;www.musee-rabelais.fr ou site du conseil général
CENTRE;INDRE ET LOIRE;Muséum d'Histoire Naturelle;3, Rue du Président Merville;37000;TOURS;www.museum.tours.fr
CENTRE;INDRE ET LOIRE;Musée des Beaux-Arts;18, Place François Sicard;37000;TOURS;www.mba.tours.fr ou www.musees-regioncentre.fr
CENTRE;INDRE ET LOIRE;Musée des Vins de Touraine;"Cellier Saint-Julien
16, Rue Nationale";37000;TOURS;site de la ville
CENTRE;INDRE ET LOIRE;Musée du Compagnonnage;"Cloître Saint-Julien
8, Rue Nationale";37000;TOURS;www.museecompagnonnage.fr
CENTRE;INDRE ET LOIRE;Musée de l'Hôtel Goüin;"25, Rue du Commerce
B.P. 1105";37011;TOURS;Site du conseil général
CENTRE;INDRE ET LOIRE;Musée de Minerve;Place du Musée;37290;YZEURES-SUR-CREUSE;
CENTRE;LOIR ET CHER;Maison de la Magie;1, Place du Château;41000;BLOIS;www.maisondelamagie.fr
CENTRE;LOIR ET CHER;Château Musées de Blois;Château de Blois;41000;BLOIS;www.chateaudeblois.fr
CENTRE;LOIR ET CHER;Muséum d'Histoire Naturelle;"""Les Jacobins"" 
Rue Anne de Bretagne";41000;BLOIS;www.ville-blois.fr
CENTRE;LOIR ET CHER;Musée de la Corbillière;Château de la Corbillière;41500;MER;
CENTRE;LOIR ET CHER;Atelier Musée Louis Leygue;106, Rue des Venages;41100;NAVEIL;
CENTRE;LOIR ET CHER;Musée de Sologne;"Moulin du Chapitre
B.P. 147";41206;ROMORANTIN-LANTHENAY;www.museedesologne.com
CENTRE;LOIR ET CHER;Musée Archéologique;Hôtel de Ville;41140;THESEE;www.musees.regioncentre
CENTRE;LOIR ET CHER;Musée de Vendôme;Cloître de la Trinité;41100;VENDOME;www.vendome.eu/intro/1p1e-421-musee-vendome.html-vendome.html ou www.musees.regioncentre.fr
CENTRE;LOIRET;Musée Municipal Théâtre Forain et Archéologique;Quartier du Paradis;45410;ARTENAY;www.musee-theatre-forain.fr
CENTRE;LOIRET;Musée Daniel Vannier;"Hôtel de Ville - Service patrimoine
20, Rue du Change";45190;BEAUGENCY;site de la région ou www.patrimoine-beaugency.fr
CENTRE;LOIRET;Musée de la Marine de Loire;"Ecuries du Château
1, Place Aristide Briand";45110;CHATEAUNEUF-SUR-LOIRE;www.chateauneuf-sur-loire.com ou www.musees-centre.com
CENTRE;LOIRET;Musée d'Art et d'Archéologie;2, Faubourg Puyrault;45230;CHATILLON-COLIGNY;http://www.ifrance.com/chatillon-coligny
CENTRE;LOIRET;Musée International de la Chasse;"Château de Gien
B.P. 99";45503;GIEN;www.château-gien.com
CENTRE;LOIRET;Musée Gaston Couté;"Espace culturel La Monnaye
22 Rue des Remparts";45130;MEUNG-SUR-LOIRE;www.meung-sur-loire.com
CENTRE;LOIRET;Musée Girodet;2, rue de la Chaussée;45200;MONTARGIS;www.montargis.fr/musee.htm
CENTRE;LOIRET;Musée du Gatinais;7, Rue du Château;45200;MONTARGIS;
CENTRE;LOIRET;Musée Historique et Archéologique;"Square Abbé Desnoyers
Hôtel Cabu";45000;ORLEANS;Site de la ville
CENTRE;LOIRET;Muséum des Sciences Naturelles;6, Rue Marcel Proust;45000;ORLEANS;www.orleans.fr
CENTRE;LOIRET;Musée des Beaux-Arts;1, rue Fernand Rabier;45000;ORLEANS;Région : www.musees.regioncentre.fr ou  www.orleans.fr (rubrique culture/musee)
CENTRE;LOIRET;Musée Municipal;"Direction de l'action culturelle
5, Place Denis Poisson - B.P. 706";45307;PITHIVIERS;
CHAMPAGNE-ARDENNE;ARDENNES;Musée de la Maison de la Dernière Cartouche;12 Avenue de la Dernière Cartouche;08140;BAZEILLES;www.maisondeladernierecartouche.com
CHAMPAGNE-ARDENNE;ARDENNES;Musée Arthur Rimbaud;Quai Arthur Rimbaud;08000;CHARLEVILLE-MEZIERES;www.mairie-charlevillemezieres.fr/htm/culture/rimbaud.htm
CHAMPAGNE-ARDENNE;ARDENNES;Maison des Ailleurs - Arthur Rimbaud;Quai Rimbaud;08000;CHARLEVILLE-MEZIERES;Site de la ville
CHAMPAGNE-ARDENNE;ARDENNES;Musée de l'Ardenne;31, Place Ducale;08000;CHARLEVILLE-MEZIERES;www.mairie-charlevillemezieres.fr/htm/culture/rimbaud.htm
CHAMPAGNE-ARDENNE;ARDENNES;Musée de Givet;"Mairie
11, Place Carnot";08600;GIVET;
CHAMPAGNE-ARDENNE;ARDENNES;Musée du Feutre;Mairie;08210;MOUZON;www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_mouzon.html
CHAMPAGNE-ARDENNE;ARDENNES;Musée du Rethelois et du Porcien;Place Noiret-Chaigneau;08300;RETHEL;
CHAMPAGNE-ARDENNE;ARDENNES;Musée du Château-Fort;BP 10322;08200;SEDAN;www.chateau-fort-sedan.fr
CHAMPAGNE-ARDENNE;AUBE;Musée Municipal;"Hôtel de ville
Place Carnot - B.P. 110";10202;BAR-SUR-AUBE;
CHAMPAGNE-ARDENNE;AUBE;Musée Napoléon Ier;34, Rue de l'Ecole Militaire;10500;BRIENNE-LE-CHATEAU;www.musee-napoleon-brienne.fr
CHAMPAGNE-ARDENNE;AUBE;Musée de la Résistance;Rue Boursault;10250;MUSSY-SUR-SEINE;Site de l'OT
CHAMPAGNE-ARDENNE;AUBE;Musée Paul Dubois - Alfred Boucher;"Rue Gué de la Loge
B.P. 40";10401;NOGENT-SUR-SEINE;www.musee-nogent-sur-seine.fr
CHAMPAGNE-ARDENNE;AUBE;Musée des Beaux-Arts;1, Rue Chrestien-de-Troyes;10000;TROYES;www.musees-troyes.com
CHAMPAGNE-ARDENNE;AUBE;Musée Historique de Troyes et de la Champagne;4, Rue Vauluisant;10000;TROYES;
CHAMPAGNE-ARDENNE;AUBE;Pharmacie Musée de l'Hôtel-Dieu;Quai des Comtes-de-Champagne;10000;TROYES;
CHAMPAGNE-ARDENNE;AUBE;Maison de l'Outil  et de la Pensée Ouvrière;7, Rue de La Trinité;10000;TROYES;www.maison-de-l-outil.com
CHAMPAGNE-ARDENNE;AUBE;Musée de la Bonneterie;"Conservation des Musées 
2, rue Chrestien de Troyes";10000;TROYES;www.ville-troyes.fr
CHAMPAGNE-ARDENNE;AUBE;Muséum d'Histoire Naturelle;4, Rue Chrestiens de Troyes;10000;TROYES;Site de la ville
CHAMPAGNE-ARDENNE;AUBE;Musée d'Art Moderne;14, Place Saint-Pierre;10000;TROYES;Site de la ville
CHAMPAGNE-ARDENNE;HAUTE-MARNE;Musée Municipal;"Pôle Culturel - Médiathèque-musée de France
Parc du Château";52400;BOURBONNE-LES-BAINS;www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_bourbonne.html
CHAMPAGNE-ARDENNE;HAUTE-MARNE;Musée des Beaux-Arts et d'Archéologie;Place du Palais;52000;CHAUMONT;http://www.ville-chaumont.fr
CHAMPAGNE-ARDENNE;HAUTE-MARNE;Musée de l'Affiche - médiathèque;7/9, Avenue Foch;52000;CHAUMONT;
CHAMPAGNE-ARDENNE;HAUTE-MARNE;Maison des Lumière Denis Diderot (ex Musée du Breuil de Saint-Germain);1, Place Pierre Burelle;52200;LANGRES;www.maisondeslumieres.org
CHAMPAGNE-ARDENNE;HAUTE-MARNE;Musée d'Art et d'Histoire;"Place du Centenaire
B.P. 183";52204;LANGRES;En cours de réalisation
CHAMPAGNE-ARDENNE;HAUTE-MARNE;Musée de la Coutellerie;"Place Charles de Gaulle
B.P. 1";52800;NOGENT;www.villedenogent52.com
CHAMPAGNE-ARDENNE;HAUTE-MARNE;Musée Municipal;17, Rue de la Victoire;52100;SAINT-DIZIER;Site de la mairie
CHAMPAGNE-ARDENNE;MARNE;Musée du Cloître de Notre-Dame-en-Vaux;Rue Nicolas Durant;51000;CHALONS-EN-CHAMPAGNE;
CHAMPAGNE-ARDENNE;MARNE;Musée Garinet;13, rue Pasteur;51000;CHALONS-EN-CHAMPAGNE;
CHAMPAGNE-ARDENNE;MARNE;Musée Municipal;Place Alexandre Godart;51000;CHALONS-EN-CHAMPAGNE;
CHAMPAGNE-ARDENNE;MARNE;Musée Municipal d'Epernay;13, Avenue de Champagne;51200;EPERNAY;
CHAMPAGNE-ARDENNE;MARNE;Ecomusée de la Montagne de Reims;"Maison du Parc
Chemin de Nanteuil";51160;POURCY;www.parc-montagnedereims.fr
CHAMPAGNE-ARDENNE;MARNE;Musée de l'Ancien Collège des Jésuites;"Direction de la Culture de la ville de Reims
1, place Museux";51100;REIMS;
CHAMPAGNE-ARDENNE;MARNE;Musée Hôtel le Vergeur;36, Place du Forum;51100;REIMS;www.museelevergeur.com
CHAMPAGNE-ARDENNE;MARNE;Musée Saint-Rémi;53, rue Simon;51100;REIMS;Site de la ville
CHAMPAGNE-ARDENNE;MARNE;Musée des Beaux-Arts de Saint-Denis;8, Rue Chanzy;51100;REIMS;site de la ville
CHAMPAGNE-ARDENNE;MARNE;Musée de l'Argonne Viard-Morel;Place Général Leclerc;51800;SAINTE-MENEHOULD;
CORSE;CORSE DU SUD;Musée Fesch;50-52, rue du Cardinal Fesch;20000;AJACCIO;www.musee-fesch.com
CORSE;CORSE DU SUD;Musée de la Maison Bonaparte;Rue Saint-Charles;20000;AJACCIO;www.musee-maisonbonaparte.fr - www.musees-nationaux-napoleoniens.org
CORSE;CORSE DU SUD;Musée Napoléonien;"Hotel de Ville
Avenue Antoine Serafini";20000;AJACCIO;http://www.napoleon.org ou http://www.ajaccio.fr/
CORSE;CORSE DU SUD;Musée de l'Alta Rocca;"Avenue Lieutenant Aviateur de Peretti
Quartier Pratu";20170;LEVIE;http://www.levie-altarocca.com
CORSE;CORSE DU SUD;Musée de Préhistoire Corse;Boulevard Jacques Nicolai;20100;SARTENE;
CORSE;HAUTE-CORSE;Musée Départemental d'Archéologie d'Aléria;Fort de Matra;20270;ALERIA;www.cg2b.fr
CORSE;HAUTE-CORSE;Musée de Bastia;"Mairie de Bastia
Avenue Pierre Giudicelli";20410;BASTIA;www.musee-bastia.com
CORSE;HAUTE-CORSE;Musée de la Corse;"La Citadelle
B.P. 73";20250;CORTE;www.musee-corse.com
CORSE;HAUTE-CORSE;Musée Archéologique de Mariana - Prince Rainier III de Monaco;Mairie de Lucciana;20290;LUCCIANA;http://www.lucciana.fr/mariana,-site-historique-le-musee-archeologique-de-mariana-%20-%C2%AB-prince-rainier-iii-de-monaco-%C2%BB_202.html
CORSE;HAUTE-CORSE;Musée Départemental Pascal Paoli;Hameau de la Stretta 20261;20218;MOROSAGLIA;www.cg2b.fr
FRANCHE-COMTE;DOUBS;Musée des Beaux-Arts et d'Archéologie;1, Place de la Révolution;25000;BESANCON;www.musee-arts-besancon.org
FRANCHE-COMTE;DOUBS;Muséum de Besançon;"La Citadelle
Rue des Fusillés de la Résistance";25000;BESANCON;www.citadelle.com
FRANCHE-COMTE;DOUBS;Musée de la résistance et de la Déportation;"La Citadelle
Rue des Fusillés";25000;BESANCON;www.citadelle.com
FRANCHE-COMTE;DOUBS;Musée Comtois;"LA CITADELLE
Rue des Fusillés";25000;BESANCON;www.citadelle.com
FRANCHE-COMTE;DOUBS;Musée du Temps;96, Grande rue;25000;BESANCON;www.besancon.fr/museedutemps
FRANCHE-COMTE;DOUBS;Musée Beurnier-Rossel;"8, Place Saint-Martin
B.P. 95287";25200;MONTBELIARD;www.montbeliard.fr
FRANCHE-COMTE;DOUBS;Musée du Château des Ducs de Wurtemberg;B.P. 95287;25205;MONTBELIARD;www.montbeliard.fr
FRANCHE-COMTE;DOUBS;Musée de Plein Air des Maisons Comtoises;Rue du Musée;25360;NANCRAY;www.maisons-comtoises.org
FRANCHE-COMTE;DOUBS;Musée-Maison Natale Gustave Courbet;Place Robert Fernier;25290;ORNANS;http://www.musee-courbet.fr
FRANCHE-COMTE;DOUBS;Musée de Pontarlier;2, Place d'Arçon;25300;PONTARLIER;Site de la ville
FRANCHE-COMTE;HAUTE-SAONE;Musée Départemental Albert Demard;Château de Champlitte;70600;CHAMPLITTE;www.cg70.fr/decouvertes/musee
